"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
35,1997,1,13163.2678703256,"0000200",10.2209520631643,11358.9371178692,15254.2107794017,8576.57506200094,20202.8921537267,"6",195.6,-12967.6678703256,66.2968705026871,NA,4
44,1998,1,14025.2796338242,"0000200",8.82469320852161,12017.0829594111,16369.0697211102,8951.44121015344,21975.0612430814,"6",228.3,-13796.9796338242,60.433550739484,NA,4
53,1999,1,15596.3863949079,"0000200",6.42228459987902,13489.7836314599,18031.9622037512,10230.5836461115,23776.4801103719,"6",372.5,-15223.8863949079,40.8694936776051,NA,4
62,2000,1,20313.001596443,"0000200",6.11681451833557,17478.8510537692,23606.702327732,13126.0780467931,31434.9825123815,"6",673.1,-19639.901596443,29.1782819736191,NA,4
71,2001,1,22785.8034965679,"0000200",4.26978798411392,19755.2792872922,26281.2199935935,15050.6945694847,34496.2711579354,"6",1478.7,-21307.1034965679,14.4093484118265,NA,4
83,2002,1,33566.873901771,"0000200",11.0618670662418,27624.8849997792,40786.9579745365,19056.6242537224,59125.6357125952,"6",689.5,-32877.373901771,47.6829208147513,NA,4
95,2003,1,35722.3253401516,"0000200",17.4642244849465,27852.1552522244,45816.3655972628,17332.9756369369,73621.7804973009,"6",1009.9,-34712.4253401516,34.3721411428375,NA,4
107,2004,1,32485.1529769361,"0000200",21.519113012984,24511.4952748485,43052.6637441732,14330.3211746918,73640.0218160246,"6",693.6,-31791.5529769361,45.8355723427568,NA,4
120,2005,1,46683.9323097122,"1000200",21.9208086982121,36507.2737803427,59697.4057556519,22848.5037505528,95384.3437492078,"6",454,-46229.9323097122,101.828044735049,NA,5
134,2006,1,45460.4819429384,"0000210",14.1523309999143,36148.5697752361,57171.153141998,23354.8754231242,88489.2503617459,"6",523.4,-44937.0819429384,85.8560984771463,NA,6
